Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"For the above stated mission, ship ABC needs to be evaluated. This should include evaluating the capacity and capability of its MGRS firing. The target reliability for this evaluation is to be set at 0.9. The range, consistency and accuracy must be the other criteria to be focused on for this evaluation. Current operating status of the MGRS can be easily evaluated at the ship level using parameters - P 1, P 2, P 3. The risk score for the mission must not be more than 11/25. P4 and P5 parameters should be used for evaluating the risk score.",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Available
"We need to assess ship ABC for a mission. One crucial aspect is examining its gun capabilities, considering factors like capacity, ability to hit targets reliably (with a target reliability of 0.9), and the gun's range, consistency, and accuracy. To evaluate the gun's current state, we can look at parameters P1, P2, and P3 at the ship level. Additionally, we must ensure that the risk score for the mission stays below 11 out of 25, taking into account parameters P4 and P5.",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Available
"We have to evaluate ship ABC for this mission. We need to focus on its gun capabilities, considering aspects like capacity, reliability (with a target reliability of 0.9), and factors like range, consistency, and accuracy. To gauge the current status of the guns, we can use parameters P1, P2, and P3 at the ship level. Additionally, we must ensure that the risk score for the mission doesn't go over 11 out of 25, taking into account parameters P4 and P5.",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Available
"Ship ABC needs a check for the upcoming mission. We're specifically looking into its gun features, examining capacity, reliability (aiming for 0.9), and factors like range, consistency, and accuracy. To assess the current state of the guns, we'll be using parameters P1, P2, and P3 at the ship level. Also, we need to keep the risk score for the mission below 11 out of 25, considering parameters P4 and P5.",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Available
"Ship ABC needs a thorough evaluation for this mission. We're particularly interested in its gun capabilities, considering factors such as capacity, reliability (aiming for 0.9), and attributes like range, consistency, and accuracy. To assess the present state of the guns, we'll be relying on parameters P1, P2, and P3 at the ship level. Moreover, it's crucial to keep the risk score for the mission below 11 out of 25, factoring in parameters P4 and P5.",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Available
"Pursuant to the upcoming mission, an evaluation of ship ABC is imperative. The primary focus lies in scrutinizing its artillery capabilities, encompassing considerations of capacity, reliability (with a target reliability threshold of 0.9), and nuances related to range, consistency, and accuracy. To appraise the current operational status of the weaponry, parameters P1, P2, and P3 at the ship level shall be employed. Furthermore, it is imperative to ensure that the mission's risk score does not surpass 11 out of 25, taking into account parameters P4 and P5.",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Available
"In light of the impending mission, a comprehensive assessment of vessel ABC is necessitated. The pivotal aspect under scrutiny pertains to the prowess of its armaments, involving an in-depth analysis of capacity, reliability (with a targeted reliability level of 0.9), and intricacies associated with range, consistency, and accuracy. To gauge the prevailing operational status of the weaponry, parameters P1, P2, and P3 at the ship level shall be utilized. Additionally, stringent measures must be in place to ensure that the mission's risk score remains below 11 out of 25, duly considering parameters P4 and P5.",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Available
"For the upcoming mission, we need to assess ship ABC. The primary focus is on its gun capabilities, considering factors like capacity, reliability (with a target reliability of 0.9), and features such as range, consistency, and accuracy. To evaluate the current status of the guns, we'll use parameters P1, P2, and P3 at the ship level. Additionally, we must ensure that the risk score for the mission doesn't exceed 11 out of 25, taking into account parameters P4 and P5.",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Available
"In preparation for the upcoming mission, it is essential to conduct a thorough evaluation of ship ABC. The key aspect of this assessment is to examine its gun capabilities, taking into consideration factors such as capacity, reliability (with a target reliability of 0.9), and attributes like range, consistency, and accuracy. To gauge the present state of the guns, we will utilize parameters P1, P2, and P3 at the ship level. Furthermore, it is imperative to uphold stringent criteria to ensure that the risk score for the mission does not surpass 11 out of 25, duly considering parameters P4 and P5.",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Available
"In anticipation of the impending mission, a comprehensive evaluation of ship ABC is required. The primary emphasis is on assessing its gun capabilities, which involves considerations of capacity, reliability (with a target reliability of 0.9), and specific features such as range, consistency, and accuracy. To evaluate the current operational status of the guns, parameters P1, P2, and P3 at the ship level will be employed. It is crucial to maintain a strict standard to ensure that the risk score for the mission remains below 11 out of 25, taking into account parameters P4 and P5.",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Available
