Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"A ship named ABC, amidst its operational cycle, has initiated condition-based inspections on shock mounts for various pumps and gas turbines. Several shock mount readings are approaching the warning threshold. The ship is slated to depart within the next 48 hours for a 7-day operation. Replacement of these shock mounts is imperative to maintain mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"Ship ABC, currently in its operational cycle, has commenced condition-based inspections on shock mounts for pumps and gas turbines. A few shock mounts are nearing the warning threshold. The ship is set to sail within the next 48 hours for a 7-day operation. Replacement of these shock mounts is vital to uphold mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"During its operational cycle, ship ABC has initiated condition-based inspections on shock mounts for various pumps and gas turbines. Some shock mounts are approaching the warning threshold. The ship is scheduled to depart within the next 48 hours for a 7-day operation. Replacement of these shock mounts is essential to maintain mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"Amidst its operational cycle, ship ABC has commenced condition-based inspections on shock mounts for pumps and gas turbines. A number of shock mounts are nearing the warning threshold. The ship is planned to set sail within the next 48 hours for a 7-day operation. Replacement of these shock mounts is crucial to preserve mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"Ship ABC, in the midst of its operational cycle, has initiated condition-based inspections on shock mounts for various pumps and gas turbines. Multiple shock mount readings are nearing the warning threshold. The ship is slated to depart within the next 48 hours for a 7-day operation. Replacement of these shock mounts is necessary to uphold mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"In the ongoing operational cycle, ship ABC has started condition-based inspections on shock mounts for pumps and gas turbines. Several shock mounts are approaching the warning threshold. The ship is scheduled to sail within the next 48 hours for a 7-day operation. Replacement of these shock mounts is vital to maintain mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"Ship ABC, currently in its operational cycle, has initiated condition-based inspections on shock mounts for various pumps and gas turbines. A few shock mounts are nearing the warning threshold. The ship is set to sail within the next 48 hours for a 7-day operation. Replacement of these shock mounts is essential to uphold mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"During its operational cycle, ship ABC has commenced condition-based inspections on shock mounts for pumps and gas turbines. Some shock mounts are approaching the warning threshold. The ship is scheduled to depart within the next 48 hours for a 7-day operation. Replacement of these shock mounts is imperative to maintain mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"Amidst its operational cycle, ship ABC has initiated condition-based inspections on shock mounts for various pumps and gas turbines. A number of shock mounts are nearing the warning threshold. The ship is planned to set sail within the next 48 hours for a 7-day operation. Replacement of these shock mounts is crucial to preserve mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"Ship ABC, in the midst of its operational cycle, has started condition-based inspections on shock mounts for pumps and gas turbines. Multiple shock mount readings are nearing the warning threshold. The ship is slated to depart within the next 48 hours for a 7-day operation. Replacement of these shock mounts is necessary to uphold mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
