Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"For the current mission, ship INS Delhi needs a thorough evaluation. This evaluation includes assessing the capacity and capability of its OTO Melara 76 mm gun. The target reliability for this evaluation is set at 0.95. Key criteria include the gun's range (20 km), consistency, and accuracy. The current operating status of the gun can be assessed using parameters - Operational Readiness (OR), Maintenance Schedule Adherence (MSA), and Firepower Output (FO). The mission's risk score must not exceed 10/25. Risk assessment will use parameters - Environmental Conditions (EC) and Crew Proficiency (CP).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"For the stated mission, ship INS Kolkata must undergo an evaluation, focusing on its 127 mm naval gun. The reliability target is set at 0.92. The criteria include maximum range (25 km), consistency, and accuracy. Gun status will be evaluated using parameters - Gun Barrel Wear (GBW), Target Hit Accuracy (THA), and Firing Rate Consistency (FRC). The mission's risk score must be below 12/25, evaluated using Weather Conditions (WC) and Ammunition Supply Status (ASS).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"Ship INS Chennai requires evaluation for the upcoming mission, specifically the capacity and capability of its AK-630 close-in weapon system. The reliability target is 0.93. Focus criteria include effective range (5 km), rate of fire, and precision. Gun status evaluation parameters are - System Health Check (SHC), Calibration Consistency (CC), and Engagement Success Rate (ESR). The risk score should be no higher than 11/25, using parameters - System Redundancy (SR) and Operator Training Level (OTL).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"For this mission, ship INS Shivalik's 76 mm Super Rapid gun mount must be evaluated. The target reliability is set at 0.94. Criteria include operational range (16 km), stability, and precision. Gun status can be assessed using parameters - Readiness Index (RI), Operational Consistency (OC), and Maintenance Efficiency (ME). The mission risk score must not exceed 9/25, assessed via Threat Level Assessment (TLA) and Supply Chain Reliability (SCR).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"Ship INS Sahyadri requires evaluation for its mission, focusing on the performance of its AK-100 naval gun. The reliability target is 0.91. Important criteria are range (21 km), consistency, and accuracy. Gun status will be evaluated using parameters - Technical Readiness Level (TRL), Operational Integrity (OI), and Performance Stability (PS). The acceptable risk score for the mission is up to 10/25, using parameters - Operational Environment (OE) and Logistics Support (LS).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"For the mission, ship INS Tarkash needs to be evaluated, particularly its A-190E naval gun. The reliability target is 0.90. Focus criteria include maximum effective range (22 km), accuracy, and rate of fire. Current gun status can be assessed using parameters - Functional Efficiency (FE), Operational Readiness Level (ORL), and Performance Metrics (PM). The mission's risk score must not be more than 11/25, using Threat Assessment (TA) and Crew Readiness (CR).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"Ship INS Satpura's evaluation is necessary for its mission, focusing on the performance of its AK-630 gun. The reliability target is set at 0.96. Criteria include range (4 km), precision, and firing consistency. Gun status will be evaluated using parameters - System Status (SS), Accuracy Rate (AR), and Reliability Index (RI). The risk score for the mission must stay below 12/25, using parameters - Environmental Impact (EI) and Equipment Condition (EC).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"For the mission, ship INS Teg needs an evaluation of its 100 mm A-190 naval gun. The target reliability is set at 0.94. Important criteria are maximum range (20 km), consistency, and accuracy. The gun’s operating status can be evaluated using parameters - Readiness Level (RL), Precision Rate (PR), and Operational Status (OS). The risk score must not exceed 11/25, assessed using Safety Index (SI) and Tactical Preparedness (TP).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"Ship INS Kamorta requires an evaluation for its mission, focusing on the capabilities of its AK-630M gun system. The reliability target is 0.92. Criteria include effective range (5 km), accuracy, and firing rate. Gun status can be assessed using parameters - Operational Capability (OC), Maintenance Effectiveness (ME), and Performance Accuracy (PA). The mission's risk score must be under 10/25, using parameters - Risk Environment (RE) and System Integrity (SI).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
"For the mission, ship INS Trikand needs an evaluation, focusing on its 76 mm OTO Melara gun. The reliability target is set at 0.95. Key criteria are operational range (16 km), firing consistency, and precision. The current status of the gun can be evaluated using parameters - Gun Health Index (GHI), Target Engagement Rate (TER), and Firing Accuracy (FA). The mission risk score must not be more than 9/25, using parameters - Mission Threat Level (MTL) and Crew Experience (CE).",Mission,,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",
